file,elapsed,path_len,min_dist,collision,timeout
simulation_5.pkl,116.7,28.032238943417212,0.14826890104751003,True,True
simulation_7.pkl,30.732999999999997,3.8307280596410513,4.562393352087563,False,False
simulation_2.pkl,30.232999999999997,3.8612940124438717,4.789659516419418,False,False
simulation_10.pkl,99.834,27.42764660211019,0.3683987540353443,True,True
simulation_3.pkl,137.567,29.591897523569784,0.4503452386675014,True,True
simulation_1.pkl,100.667,27.445028151026655,0.2158192861301299,True,True
simulation_8.pkl,99.7,33.048813930527,0.14011634435987702,True,True
simulation_9.pkl,275.667,27.772577657397562,0.19396206386217116,True,True
simulation_6.pkl,79.3,27.37029727912286,0.41639768637506663,True,True
simulation_4.pkl,84.13300000000001,32.428771914220505,0.10598705125537926,True,True
SUMMARY,105.45339999999999,24.080929407347668,1.139134819423996,80.0% collision,80.0% timeout
