file,elapsed,path_len,min_dist,collision,timeout
simulation_5.pkl,153.033,31.048817508429227,0.09449582361145512,True,True
simulation_7.pkl,84.467,32.37189225065695,0.19675962272627184,True,True
simulation_2.pkl,112.06700000000001,28.7451760627834,0.14872686714274463,True,True
simulation_10.pkl,166.9,33.00195659024835,0.12659850972409858,True,True
simulation_3.pkl,127.10000000000001,33.07621358331176,0.1385147567121051,True,True
simulation_1.pkl,68.733,27.118857449132484,0.23876244413867925,True,True
simulation_8.pkl,97.033,27.974416000431944,0.31945299156195994,True,True
simulation_9.pkl,119.5,32.95869586786741,0.09386117315773884,True,True
simulation_6.pkl,129.03400000000002,34.37166035136904,0.29206354706520143,True,True
simulation_4.pkl,33.334,3.9215119333130053,2.725208712885317,False,False
SUMMARY,109.12010000000002,28.45891975975436,0.43744444487255707,90.0% collision,90.0% timeout
