file,elapsed,path_len,min_dist,collision,timeout
simulation_5.pkl,66.267,35.095552048192744,0.1353123893118969,True,True
simulation_7.pkl,84.13300000000001,34.731705411426816,0.15382916547639955,True,True
simulation_2.pkl,63.934000000000005,34.43596328660899,0.104571236428082,True,True
simulation_10.pkl,66.43299999999999,33.34757591765255,0.1104412965199063,True,True
simulation_3.pkl,97.2,20.164696594155878,0.1005047915422635,True,True
simulation_1.pkl,94.666,33.89884744629259,0.17037135158902766,True,True
simulation_8.pkl,72.267,37.2669991119073,0.10870788832686921,True,True
simulation_9.pkl,69.1,36.20381522862546,0.1318383312333657,True,True
simulation_6.pkl,65.067,33.653134644045366,0.18196202277037143,True,True
simulation_4.pkl,77.30000000000001,35.26421110575876,0.188603921249646,True,True
SUMMARY,75.63669999999999,33.40625007946665,0.13861423944478282,100.0% collision,100.0% timeout
