file,elapsed,path_len,min_dist,collision,timeout
simulation_5.pkl,98.10000000000001,32.79151084882852,0.09209693391338532,True,True
simulation_7.pkl,70.267,32.2073279724692,0.29127011282608967,True,True
simulation_2.pkl,61.733000000000004,32.31888092897081,0.22324895927093755,True,True
simulation_10.pkl,59.4,32.22226916759217,0.1215284887919779,True,False
simulation_3.pkl,75.167,31.577043393705353,0.17923190110817303,True,True
simulation_1.pkl,61.099999999999994,32.20013054431525,0.09939637420288353,True,True
simulation_8.pkl,62.6,32.14329335401063,0.24671791319023206,True,True
simulation_9.pkl,94.266,31.158788733084588,0.1440912464024468,True,True
simulation_6.pkl,62.833,32.61927368915504,0.13015009542802114,True,True
simulation_4.pkl,59.1,32.91855548726518,0.10819341107802212,True,False
SUMMARY,70.45660000000001,32.21570741193967,0.16359254362121692,100.0% collision,80.0% timeout
