file,elapsed,path_len,min_dist,collision,timeout
simulation_5.pkl,69.5,34.39708325436075,0.1519874974429339,True,True
simulation_7.pkl,91.033,35.88679481341782,0.0566650802861499,True,True
simulation_2.pkl,61.333,32.964550390158635,0.23206792240489685,True,True
simulation_10.pkl,82.0,36.485112187164866,0.1459700919806965,True,True
simulation_3.pkl,76.866,34.59759570380919,0.10730177657725105,True,True
simulation_1.pkl,113.43299999999999,31.829585995613993,0.19085291329855486,True,True
simulation_8.pkl,80.567,33.81652316917888,0.21846928819628456,True,True
simulation_9.pkl,66.4,33.352055088385214,0.13936036480779967,True,True
simulation_6.pkl,97.93299999999999,34.433329508039854,0.33700335558548006,True,True
simulation_4.pkl,70.0,34.28701229098167,0.09847071766675822,True,True
SUMMARY,80.9065,34.20496424011109,0.1678149008246806,100.0% collision,100.0% timeout
