file,elapsed,path_len,min_dist,collision,timeout
simulation_5.pkl,74.76700000000001,36.2413174957416,0.08812909548187695,True,True
simulation_7.pkl,83.56700000000001,35.51388250839419,0.1490433880201658,True,True
simulation_2.pkl,61.666,34.64353972566222,0.10650915792514302,True,True
simulation_10.pkl,93.76700000000001,31.62826238963369,0.19335947491106575,True,True
simulation_3.pkl,70.233,33.42408441537192,0.19019547966665157,True,True
simulation_1.pkl,63.633,34.695986857710054,0.16130634008297728,True,True
simulation_8.pkl,74.733,36.15105464652726,0.1158817713145814,True,True
simulation_9.pkl,85.8,35.62844355549222,0.09399493540948374,True,True
simulation_6.pkl,64.8,33.18291820211937,0.12992007067167036,True,True
simulation_4.pkl,78.233,34.68723983304996,0.1357956273034511,True,True
SUMMARY,75.11989999999999,34.57967296297024,0.1364135340787067,100.0% collision,100.0% timeout
