file,elapsed,path_len,min_dist,collision,timeout
simulation_5.pkl,64.367,34.062182583986186,0.08412585704906478,True,True
simulation_7.pkl,70.06700000000001,18.460712891917765,0.10615658382713854,True,True
simulation_2.pkl,70.333,34.81906712134298,0.2636302569804837,True,True
simulation_10.pkl,69.466,33.791520779395896,0.11633923218053377,True,True
simulation_3.pkl,65.834,35.44694170457827,0.15592728307242376,True,True
simulation_1.pkl,62.166000000000004,33.039977700017886,0.3259118816852444,True,True
simulation_8.pkl,62.36599999999999,33.80692274402361,0.11429766199674338,True,True
simulation_9.pkl,94.067,34.15572278142214,0.15600487329314935,True,True
simulation_6.pkl,92.566,36.13135558126072,0.047541765948163346,True,True
simulation_4.pkl,62.266999999999996,33.77497428762263,0.10336344543231984,True,True
SUMMARY,71.3499,32.74893781755681,0.14732988414652648,100.0% collision,100.0% timeout
