file,elapsed,path_len,min_dist,collision,timeout
simulation_5.pkl,61.8,32.777720630935534,0.10132312590939516,True,True
simulation_7.pkl,71.89999999999999,33.32803945615243,0.16690457059873975,True,True
simulation_2.pkl,60.467,32.98328518622604,0.13149090229905117,True,True
simulation_10.pkl,63.833000000000006,33.08966930413806,0.17518914708445646,True,True
simulation_3.pkl,60.533,33.34637354220917,0.08899773933263996,True,True
simulation_1.pkl,65.0,32.5194923818808,0.14573617263342326,True,True
simulation_8.pkl,59.53300000000001,32.16340766186147,0.18450066227482334,True,False
simulation_9.pkl,64.7,31.810963331600735,0.24033129670758865,True,True
simulation_6.pkl,72.666,32.91101475131185,0.24624992081539157,True,True
SUMMARY,64.49244444444444,32.769996249590676,0.1645248375172788,100.0% collision,88.9% timeout
